table name: city,,,,,,,,
id,name,country,state,region,population,priceToRent,propertyTax,utilities
1,Toronto,CA,ON,GTA,2930000,25,0.0075,4200
2,Vancouver,CA,BC,Lower Mainland,700000,30,0.003,3650
3,Halifax,CA,NS,Atlantic,440000,22,0.0077,4650
4,Austin,US,TX,Hill Country,1010000,20,0.016,4250
5,Denver-Aurora-Lakewood,US,CO,Front Range,3000000,21,0.0055,3700
6,Riverside-San Bernardino-Ontario,US,CA,West,4700000,,0.0075,4050
7,McAllen,US,TX,South,145000,,0.018,3850
8,Minneapolis-St. Paul-Bloomington,US,MN,Midwest,3800000,,0.011,3900
9,Billings,US,MT,Rockies,120000,,0.008,3650
10,Boston-Cambridge-Newton,US,MA,Northeast,5000000,,0.011,4650
11,Boise,US,ID,Northeast,240000,,0.006,3300
12,Calgary-Edmonton,CA,AB,Prairies,3530000,,0.0066,4450
13,Washington-Arlington-Alexandria,US,DC,South,6500000,,0.0085,4700
14,Phoenix-Mesa-Chandler,US,AZ,Southwest,5200000,,0.006,4350
15,San Francisco-Oakland-Berkeley,US,CA,West,4600000,,0.0075,4700
16,Chicago-Naperville-Elgin,US,IL,Midwest,9400000,13.2,0.018,4400
17,Nashville-Davidson-Murfressboro-Franklin,US,TN,South,2200000,,0.0065,3600
18,El Paso,US,TX,South,680000,,0.018,3750
19,Philadephia-Camden-Wilmington,US,PA,Northeast,6400000,,0.013,4550
20,New Orleans-Metairie,US,LA,South,970000,,0.006,4100
21,Memphis,US,TN,South,1340000,,0.011,3550
22,New York-Newark-Jersey City,US,NYC,Northeast,19800000,17.1,0.014,5300
23,Montreal,CA,QC,East,4600000,,0.0085,3250
24,Dallas-Fort Worth-Arlington,US,TX,South,8400000,,0.018,4050
25,Houston-Pasadena-The Woodlands,US,TX,South,7800000,,0.018,4250
26,Miami-Fort Lauderdale-West Palm Beach,US,FL,South,6300000,,0.008,4100
27,Detroit-Warren-Dearborn,US,MI,Great Lakes,4400000,,0.014,4000
28,Seattle-Tacoma-Bellevue,US,WA,Pacifc Northwest,4100000,,0.0095,4200
